layer,n_samples,n_features,explained_variance_pc1,explained_variance_pc2,total_explained_variance,png,csv
net_blocks_0,500,500,0.6375681161880493,0.0903439074754715,0.7279120087623596,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_0_pca.png,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_0_pca.csv
net_blocks_1,500,500,0.4899277687072754,0.15289559960365295,0.642823338508606,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_1_pca.png,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_1_pca.csv
net_blocks_10,500,500,0.1814853698015213,0.05235590785741806,0.23384127020835876,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_10_pca.png,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_10_pca.csv
net_blocks_11,500,500,0.20651189982891083,0.05971700698137283,0.26622891426086426,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_11_pca.png,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_11_pca.csv
net_blocks_2,500,500,0.43168991804122925,0.12436792254447937,0.5560578107833862,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_2_pca.png,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_2_pca.csv
net_blocks_3,500,500,0.3838934302330017,0.10255257040262222,0.48644599318504333,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_3_pca.png,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_3_pca.csv
net_blocks_4,500,500,0.36532843112945557,0.10343381762504578,0.46876224875450134,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_4_pca.png,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_4_pca.csv
net_blocks_5,500,500,0.2975466549396515,0.0825599804520607,0.3801066279411316,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_5_pca.png,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_5_pca.csv
net_blocks_6,500,500,0.2752726972103119,0.07183708995580673,0.3471097946166992,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_6_pca.png,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_6_pca.csv
net_blocks_7,500,500,0.22398218512535095,0.056438148021698,0.28042033314704895,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_7_pca.png,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_7_pca.csv
net_blocks_8,500,500,0.21880342066287994,0.04853515326976776,0.2673385739326477,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_8_pca.png,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_8_pca.csv
net_blocks_9,500,500,0.20798571407794952,0.04303113743662834,0.25101685523986816,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_9_pca.png,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/net_blocks_9_pca.csv
z_final_embeddings,500,768,0.2036147117614746,0.05323033034801483,0.25684505701065063,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/z_final_embeddings_pca.png,/home/mellie/supervised-vs-SSL/supervised_vs_ssl/PCA_results/passt/z_final_embeddings_pca.csv
