feature_file,task,pc1,pc2
000615_0002.npy,0,-3.7402034,-4.412119
000667_0001.npy,1,-8.856196,5.8750434
001644_0000.npy,1,-13.749513,-4.847243
001689_0002.npy,0,-10.930707,-9.719947
001929_0000.npy,1,-8.33299,-2.640762
003535_0001.npy,1,-11.172878,-5.3047066
003624_0002.npy,1,-12.973876,-0.3661065
003776_0001.npy,0,-10.361093,-0.1322751
006394_0002.npy,1,-12.136811,-2.1523964
006463_0001.npy,1,-12.834561,-7.40753
007377_0000.npy,0,-7.2722383,6.7290382
007528_0002.npy,1,-8.947491,7.866594
009559_0000.npy,1,-15.94153,-1.7975892
010383_0000.npy,1,-12.630716,-3.1610675
010387_0002.npy,1,-5.1927185,-5.1830087
010443_0000.npy,0,-12.541491,-6.0996647
010809_0001.npy,1,-9.648862,-10.0305195
011672_0000.npy,1,8.652582,-2.1476216
011793_0002.npy,1,-7.776025,11.125603
011861_0001.npy,0,-8.391062,6.906594
012352_0000.npy,1,-11.063536,-14.206731
012355_0001.npy,0,-7.3626175,-15.239637
012737_0002.npy,0,-8.749198,6.1351137
013197_0001.npy,0,-13.409901,-7.925767
013666_0000.npy,0,-16.492174,3.840336
013928_0000.npy,1,-7.4157324,-16.96575
014579_0002.npy,1,-6.1727953,-5.7758756
017633_0001.npy,1,-10.92068,-4.3401036
018112_0000.npy,1,-9.306316,3.0874796
018350_0001.npy,0,-11.356764,-3.4264805
020424_0000.npy,1,5.64001,1.2873522
022094_0002.npy,1,-7.7564363,5.7334933
022097_0000.npy,1,-9.149673,-9.806626
022474_0002.npy,1,-6.2740717,-6.3950596
022480_0001.npy,0,-9.084624,-5.096998
024371_0000.npy,1,-13.298409,-6.2446237
025608_0000.npy,0,-8.372416,8.589381
026007_0000.npy,1,-4.687052,7.426559
026600_0000.npy,0,-6.1671786,1.5514951
029040_0000.npy,0,-11.417458,6.5342073
029744_0000.npy,0,-14.158112,0.2539757
030095_0001.npy,1,-8.600607,4.5389028
030740_0000.npy,0,-9.452654,-16.632645
031042_0002.npy,0,-5.4490924,3.4306722
031356_0000.npy,0,-12.918016,-1.7787511
032438_0001.npy,1,-8.265521,5.6988196
033064_0001.npy,1,-14.684215,9.02227
033064_0002.npy,1,-12.988921,9.195079
033069_0001.npy,1,-13.462948,-5.6084743
036099_0001.npy,0,-9.495685,8.847401
036302_0001.npy,1,-11.492571,7.5504465
036616_0001.npy,1,-10.509697,-6.1018023
038352_0000.npy,1,-12.702122,0.113479964
038361_0000.npy,0,-3.5097961,-0.40772912
038781_0001.npy,1,-12.363254,-11.572857
040147_0000.npy,1,-6.015265,-2.3902602
040244_0001.npy,0,-12.322283,5.457362
042138_0001.npy,1,-3.3820076,0.9790916
043521_0001.npy,1,-12.754691,-1.6425974
043596_0000.npy,0,-13.475401,-5.5649724
044798_0000.npy,1,-13.193716,2.4461727
044798_0001.npy,1,-12.388015,6.1543083
044809_0000.npy,0,-8.463596,-0.9274113
044809_0002.npy,1,-11.47557,-5.0687113
045055_0000.npy,1,-14.421975,-0.65579337
045149_0000.npy,1,-10.260338,5.383397
045335_0001.npy,0,-8.848602,3.6931782
045474_0001.npy,1,-12.490889,-0.89191276
048865_0002.npy,0,-5.213061,3.1103487
049030_0002.npy,0,-8.711495,-14.250805
050323_0001.npy,1,-1.5835984,-8.260948
050753_0001.npy,0,-8.542393,8.719913
051292_0001.npy,1,-11.002975,-0.15229076
052634_0001.npy,1,-15.497002,6.4136577
052639_0001.npy,0,-7.251392,5.434888
052861_0001.npy,1,-6.9277897,-7.7655115
054019_0001.npy,0,-8.300746,1.3568019
054365_0000.npy,1,-9.768781,3.609928
054470_0002.npy,0,-14.09716,9.41689
054580_0001.npy,1,-12.019412,-7.8893948
054719_0001.npy,1,-9.577739,10.676564
054753_0001.npy,1,-14.12431,7.9456134
056650_0001.npy,1,-14.2499485,-4.814036
057662_0001.npy,1,-14.357864,-4.1760726
059451_0000.npy,0,-11.939719,6.048703
059671_0001.npy,0,-1.9492005,-0.46764776
060145_0000.npy,1,-11.067868,-7.2019424
061007_0001.npy,1,-2.9875045,-21.202915
062183_0002.npy,1,-9.354596,9.88903
064248_0001.npy,1,-12.27647,0.078779936
064515_0001.npy,1,-9.504962,9.494311
065752_0001.npy,1,-5.6920953,10.612957
066076_0002.npy,1,-13.492357,10.245069
066757_0001.npy,1,-11.649593,3.9498792
067237_0001.npy,1,-14.93014,0.689654
067766_0001.npy,0,-9.087296,-16.210024
068854_0001.npy,0,-11.204142,-4.7007904
069196_0001.npy,1,-8.388192,10.108221
