feature_file,task,pc1,pc2
000140_0000.npy,0,-9.3527155,-8.171734
000140_0001.npy,1,-11.239243,-6.162993
000141_0000.npy,1,-0.5927027,-8.892203
000141_0001.npy,0,-8.83515,-3.3060462
000200_0000.npy,1,-6.3590937,-4.3968124
000200_0001.npy,1,-9.353711,-2.847755
000210_0000.npy,1,-10.807262,-9.385958
000210_0001.npy,0,-7.330295,-11.189518
000210_0002.npy,1,-14.933886,-7.4503636
000256_0000.npy,1,-13.747483,14.718307
000256_0001.npy,0,-12.122987,12.718175
000615_0000.npy,1,-4.2413254,-1.8692545
000615_0001.npy,1,-6.371282,-3.2762384
000615_0002.npy,1,-6.276479,-4.1534934
000620_0000.npy,1,-14.447114,-0.6969576
000620_0001.npy,0,-15.250254,-2.240276
000667_0000.npy,1,-11.396413,11.744668
000667_0001.npy,1,-12.130198,10.015989
000690_0000.npy,1,-14.790016,13.234803
000690_0001.npy,0,-15.268584,9.142092
000695_0000.npy,1,-8.67619,8.453044
000695_0001.npy,0,-6.1019278,10.354409
000704_0000.npy,0,-15.559716,3.7986045
000704_0001.npy,0,-14.603062,5.486705
000705_0000.npy,0,-15.5393,6.073897
000705_0001.npy,1,-17.778683,6.0010114
000709_0000.npy,1,-13.620832,6.4110646
000709_0001.npy,1,-14.245281,1.3474194
000709_0002.npy,1,-16.721363,3.0389893
000825_0000.npy,0,-13.931331,15.415699
000825_0001.npy,1,-15.220288,16.418901
000892_0000.npy,1,-18.755121,-5.029686
000892_0001.npy,1,-17.914713,-9.110073
000995_0000.npy,1,-2.1289666,6.175567
000995_0001.npy,0,-2.6081944,8.110394
000995_0002.npy,1,-4.0044103,7.0846734
001069_0000.npy,0,-12.214961,8.00006
001069_0001.npy,1,-12.705334,4.504225
001197_0000.npy,0,-11.692459,-4.708657
001197_0001.npy,0,-10.795613,-5.516677
001249_0000.npy,0,-4.192764,9.415425
001249_0001.npy,1,-4.614269,5.431222
001482_0000.npy,0,-14.79557,0.24403222
001482_0001.npy,0,-10.592777,4.8709087
001642_0000.npy,0,-14.111713,3.376539
001642_0001.npy,1,-13.474758,4.826799
001644_0000.npy,1,-17.236002,1.9934459
