layer,n_samples,n_features,explained_variance_pc1,explained_variance_pc2,total_explained_variance
net_blocks_5,500,500,0.29754663,0.08255994,0.38010657
net_blocks_4,500,500,0.36532852,0.103433765,0.46876228
net_blocks_1,500,500,0.48992774,0.15289558,0.64282334
net_blocks_9,500,500,0.20798571,0.043031137,0.25101686
net_blocks_0,500,500,0.6375683,0.09034387,0.7279122
net_blocks_11,500,500,0.20651177,0.059716973,0.26622874
net_blocks_3,500,500,0.3838933,0.10255255,0.48644584
net_blocks_6,500,500,0.2752727,0.07183706,0.34710976
z_final_embeddings,500,768,0.20361485,0.053230383,0.25684524
net_blocks_10,500,500,0.18148534,0.052355904,0.23384124
net_blocks_7,500,500,0.22398219,0.05643813,0.2804203
net_blocks_8,500,500,0.21880336,0.048535157,0.2673385
net_blocks_2,500,500,0.43168992,0.124367945,0.5560579
