layer,n_samples,n_features,explained_variance_pc1,explained_variance_pc2,total_explained_variance
features_2,500,393216,0.1361194,0.044271633,0.18039103
features_6,500,98304,0.15774553,0.05898013,0.21672565
features_7,500,24576,0.16456361,0.0699899,0.23455352
fc_4,500,49152,0.1296485,0.060970552,0.19061905
features_0,500,393216,0.18386704,0.058931272,0.24279831
fc_1,500,49152,0.13415135,0.059287522,0.19343887
features_4,500,98304,0.20917319,0.07890247,0.28807566
features_5,500,98304,0.20917314,0.07890248,0.28807563
features_1,500,393216,0.18386702,0.058931284,0.2427983
z_final_embeddings,500,73728,0.17650245,0.06606458,0.24256703
fc_0,500,49152,0.18160753,0.08142903,0.26303655
fc_2,500,49152,0.13415135,0.059287567,0.19343892
fc_3,500,49152,0.17735109,0.083333366,0.26068446
features_3,500,98304,0.14385876,0.05168229,0.19554105
